cityId,productionTotal,goldTotal,cityTotal,cultureScore,goldScore,cityScore,scienceTotal,scienceScore,productionScore,cultureTotal,foodTotal,foodScore
111,579.4,298.7,15,1,2,4,221.04000000000008,4,4,121.82999999999993,705.0,4
112,436.60000000000014,340.1999999999999,14,3,3,3,188.38999999999993,2,3,154.79,491.0,3
113,506.00000000000006,498.59999999999997,18,4,4,4,202.5200000000001,3,4,198.86999999999995,483.0,3
114,570.4,315.25,15,4,2,4,289.96000000000004,4,4,202.63000000000017,378.0,1
115,634.75,384.3500000000001,11,4,3,3,163.10999999999996,0,4,193.0800000000001,249.0,0
116,488.79999999999995,612.55,10,0,4,2,181.83999999999997,2,3,97.55000000000001,343.0,1
117,612.55,362.09999999999957,18,4,3,4,194.59999999999988,3,4,180.60999999999999,534.0,4
118,556.25,425.0,8,0,4,1,165.50999999999985,0,4,87.61999999999992,246.0,0
119,218.39999999999995,257.5,5,2,1,0,157.22000000000003,0,2,149.12000000000012,269.0,0
120,229.50000000000006,258.0,8,4,1,1,164.56,0,2,210.96999999999997,327.0,1
121,186.04999999999998,281.5,8,2,2,1,172.55999999999997,1,2,153.29999999999998,380.0,1
122,123.25000000000003,257.75,9,1,1,2,194.84,3,0,130.5,604.0,4
123,185.54999999999998,254.5,7,2,0,1,172.55999999999997,1,2,153.29999999999998,387.0,2
124,190.09999999999994,277.8,6,2,2,0,156.47999999999996,0,2,149.92000000000007,252.0,0
125,128.9,257.25,2,1,0,0,161.21000000000004,0,0,138.8800000000001,348.0,1
126,111.80000000000004,257.25,2,1,0,0,163.71000000000004,0,0,131.98000000000008,360.0,1
127,77.39999999999999,367.34999999999997,4,0,3,0,166.79999999999998,1,0,89.88000000000005,295.0,0
128,438.89999999999975,490.9499999999998,13,2,4,3,186.12000000000003,2,3,146.49999999999994,445.0,2
